85 2040
value,weight
61,32
74,98
21,46
34,8
38,56
37,97
19,66
15,77
14,41
70,64
40,60
28,72
25,14
79,26
86,72
45,30
18,50
55,91
99,70
47,80
55,74
68,72
52,65
62,16
10,24
17,19
32,9
60,94
78,65
77,100
3,34
41,23
17,94
82,43
8,49
47,93
42,78
91,73
42,75
87,87
88,89
44,91
10,64
49,68
85,48
83,2
57,3
63,20
95,17
19,5
89,29
63,39
95,95
11,72
35,20
42,48
76,12
88,87
6,59
92,11
5,42
54,37
72,9
12,33
12,42
36,82
39,31
90,29
26,34
78,43
15,6
6,26
30,47
9,50
45,44
59,70
78,53
5,13
80,34
20,14
14,2
71,76
16,13
84,2
41,33
