100 2556
value,weight
97,94
76,16
14,16
62,50
84,42
57,71
49,92
58,34
85,79
57,17
54,83
39,17
61,70
83,68
44,86
44,4
19,68
52,41
30,37
46,27
85,69
18,97
5,71
11,56
54,70
61,9
62,58
8,71
69,9
47,9
1,85
6,78
7,93
69,69
47,9
54,60
18,16
17,93
49,49
57,53
74,13
20,8
61,11
42,16
63,69
29,7
24,51
14,43
88,25
49,65
42,93
77,79
53,28
40,38
72,98
21,43
35,33
46,60
12,98
38,79
25,2
62,6
83,70
7,76
16,96
80,4
92,16
92,89
95,49
52,61
40,98
19,2
46,11
73,13
66,42
68,68
81,95
98,71
30,48
3,4
23,38
25,96
22,85
78,81
72,1
63,92
87,70
65,62
5,38
68,68
64,63
26,17
47,75
77,1
3,1
24,22
26,74
19,99
4,85
64,30
