95 2386
value,weight
98,71
97,75
83,14
67,47
22,37
1,12
14,90
54,50
63,90
20,22
27,63
33,47
88,30
45,14
33,80
54,7
11,90
96,3
28,44
93,16
35,31
88,89
90,100
37,20
11,90
87,73
5,79
73,30
66,49
17,69
38,16
42,18
19,47
41,53
30,2
24,63
48,30
4,37
47,33
62,72
74,54
99,33
98,54
61,1
35,48
97,39
50,74
51,14
67,40
48,70
30,6
21,84
44,89
92,100
1,64
13,54
4,12
92,63
76,95
57,78
76,43
87,30
68,57
99,80
65,13
43,74
72,84
89,59
4,1
30,29
23,23
55,2
73,88
56,65
98,98
40,37
40,73
65,71
31,19
38,81
44,44
6,93
21,69
45,8
73,40
7,16
17,72
13,51
66,28
86,27
72,11
20,84
66,71
43,66
56,90
