90 2430
value,weight
93,65
3,12
2,84
85,98
70,99
89,76
4,34
56,53
7,73
87,22
7,70
1,96
35,10
88,8
86,38
38,36
62,82
57,27
56,76
18,93
57,89
53,29
85,76
49,83
1,44
12,86
18,38
80,94
43,90
4,21
44,76
37,60
80,16
77,96
4,76
13,11
2,39
6,26
24,62
16,72
56,92
42,66
36,69
90,100
75,79
74,25
38,66
96,57
24,76
34,41
40,92
84,76
71,9
90,50
53,38
1,80
28,13
12,35
83,40
1,71
53,97
3,30
95,98
93,19
60,48
32,39
69,44
4,94
87,81
55,75
25,8
32,12
71,99
80,7
74,45
18,11
23,55
68,17
87,55
63,94
86,28
60,24
88,7
45,50
44,33
5,29
73,6
64,70
11,53
79,22
