85 2262
value,weight
84,76
100,99
84,95
49,96
53,94
53,76
84,50
33,18
77,97
17,55
87,14
84,90
49,65
57,40
62,84
72,91
83,11
41,77
3,50
26,85
62,24
56,73
28,97
68,51
68,70
69,19
32,86
49,38
27,9
26,11
30,27
28,86
50,53
81,90
66,79
63,74
36,41
80,17
22,18
29,78
39,23
50,47
14,16
91,23
45,100
4,10
92,46
63,86
57,93
16,7
79,66
12,72
14,18
84,1
26,13
32,51
70,13
98,18
21,19
6,73
44,72
35,9
29,25
23,36
45,82
42,33
94,86
23,81
87,36
52,42
89,34
66,94
72,85
57,19
31,20
46,95
30,8
51,65
61,86
64,52
45,57
52,70
41,95
11,41
52,2
