90 2211
value,weight
30,60
77,36
1,66
21,31
24,54
97,58
62,5
9,46
35,26
88,87
65,37
1,53
78,24
68,21
30,49
7,92
66,39
50,70
41,86
2,63
78,22
79,76
83,18
68,94
2,14
80,33
59,4
33,68
67,41
8,11
85,14
91,33
68,78
44,96
61,89
71,80
82,81
81,50
95,17
10,35
13,62
15,3
37,68
86,12
87,92
46,16
99,64
76,10
42,59
57,4
8,79
72,48
90,15
38,75
24,5
86,95
20,93
13,56
13,49
20,66
83,80
44,86
67,81
97,20
77,85
65,22
21,16
19,24
55,39
94,92
62,38
86,28
100,97
33,28
65,66
48,11
77,13
7,91
91,22
87,7
2,43
71,90
53,16
99,7
40,36
82,35
16,93
95,92
62,84
64,53
