85 2275
value,weight
88,59
7,7
76,29
29,71
95,5
38,5
65,87
23,43
54,98
51,95
60,98
41,71
19,91
84,25
66,19
56,52
35,7
27,99
29,4
53,38
17,82
55,49
14,75
100,35
96,13
16,64
86,47
98,72
16,85
59,42
24,37
79,42
97,54
38,70
25,50
70,15
22,80
39,21
6,35
56,12
43,14
38,89
20,42
23,100
35,77
5,59
13,9
83,87
26,72
81,91
31,94
32,15
29,96
16,66
27,30
17,95
21,5
85,10
53,95
67,39
87,96
78,72
72,82
3,61
98,78
91,97
41,1
69,28
81,21
28,54
80,16
77,100
89,62
33,68
94,4
59,56
64,33
23,28
38,62
34,98
11,8
41,62
71,28
82,78
52,89
