100 2648
value,weight
60,1
86,12
3,24
95,88
34,100
89,7
46,17
28,94
96,29
79,9
23,33
78,26
35,60
69,81
50,9
72,56
43,44
84,62
81,15
57,15
88,76
92,47
28,96
77,32
35,75
40,23
2,13
24,85
100,61
36,33
98,68
74,68
85,92
12,60
67,54
91,74
90,36
77,44
57,86
77,9
18,49
2,13
66,74
98,72
39,59
92,91
29,98
43,49
77,29
77,93
10,50
81,4
20,66
92,76
87,52
32,71
89,80
36,40
15,5
17,25
41,56
71,92
37,23
3,89
48,48
49,52
40,71
87,97
87,48
73,67
95,10
5,97
72,52
73,79
82,63
21,47
67,9
60,85
82,97
47,80
48,88
58,51
25,94
66,53
69,20
5,4
11,25
97,93
22,35
73,6
12,57
87,57
91,69
23,93
75,75
61,25
14,80
23,60
59,10
26,30
