90 2227
value,weight
23,20
40,36
94,9
77,36
58,30
42,24
60,54
18,60
88,100
23,43
68,39
31,10
49,29
57,45
65,44
91,7
8,18
51,80
25,99
26,1
95,69
35,83
85,87
51,85
31,7
71,54
92,43
42,17
14,45
73,95
8,99
43,3
49,59
16,68
71,43
10,5
73,35
17,82
66,62
79,34
51,90
13,46
26,8
73,7
95,88
100,21
44,56
78,35
90,80
78,75
6,5
59,6
37,83
44,2
96,78
96,26
21,80
8,7
42,75
69,94
6,89
91,18
62,38
82,48
61,17
54,18
37,73
60,87
16,56
72,53
55,58
1,37
38,71
75,85
39,82
21,53
27,54
20,35
58,59
56,39
10,48
18,39
36,86
1,72
12,95
6,85
74,39
18,4
26,55
79,40
