95 2275
value,weight
20,46
76,21
89,73
82,16
71,62
6,57
11,60
35,59
24,56
100,74
77,25
57,60
44,37
3,40
75,5
14,79
80,17
29,77
63,23
75,85
100,2
97,99
2,58
64,27
78,98
36,54
32,27
35,18
62,63
40,58
5,81
53,5
26,3
34,32
88,47
41,7
37,86
9,48
60,43
99,50
73,51
11,19
25,71
56,14
29,17
70,16
86,89
11,75
28,47
19,87
37,41
70,68
99,66
40,83
97,46
27,40
54,82
33,95
16,22
79,59
89,81
66,32
71,89
3,78
55,80
17,91
34,52
10,4
35,7
97,5
21,9
72,30
91,9
93,90
76,95
14,37
6,87
67,3
49,45
39,4
44,39
40,13
83,60
27,52
92,85
20,35
29,21
44,10
14,23
76,8
82,18
41,79
99,55
51,66
83,93
