90 2734
value,weight
49,71
69,97
11,40
21,34
96,45
84,55
98,71
82,88
19,81
17,66
91,88
26,37
41,91
13,77
28,36
97,62
65,10
68,42
27,81
99,95
81,41
71,49
67,88
51,52
56,50
93,43
70,36
90,45
80,42
20,81
95,55
80,98
65,41
43,4
8,85
6,6
23,85
99,84
28,51
39,25
60,82
17,89
58,55
25,57
30,52
79,66
97,94
54,39
97,90
79,78
91,97
30,36
27,17
81,66
83,90
59,96
12,5
8,83
77,45
87,2
15,66
40,20
76,22
100,82
7,57
31,53
92,45
54,37
38,95
100,85
39,85
67,57
63,75
64,64
16,36
43,90
18,17
79,86
70,94
25,82
20,56
19,81
21,48
32,63
95,99
6,18
85,83
76,44
21,95
4,66
