95 2481
value,weight
54,38
54,57
18,35
31,13
68,24
66,11
18,80
27,77
7,76
81,63
58,41
69,30
24,32
33,88
4,90
8,53
15,16
13,81
93,55
7,37
74,82
81,41
84,20
84,35
62,94
72,72
71,68
18,19
76,5
32,62
66,80
72,95
86,11
19,91
23,6
29,83
54,39
38,45
37,3
30,9
18,77
91,63
71,22
94,94
18,4
27,46
4,48
40,22
79,76
30,85
97,6
96,30
63,38
28,52
34,38
72,35
81,33
14,88
25,60
69,49
24,6
67,53
60,61
99,30
83,95
82,90
34,93
62,91
50,47
38,54
33,65
83,23
91,83
94,41
26,14
22,69
37,50
78,76
30,49
44,34
56,30
22,44
96,74
18,10
9,76
81,91
2,45
17,65
68,77
67,71
30,54
77,96
66,61
34,71
34,51
