95 2502
value,weight
86,69
80,71
89,9
75,47
66,94
51,98
52,87
7,31
29,48
63,59
15,76
48,92
82,87
34,28
53,78
78,92
43,12
21,25
44,28
35,95
97,38
37,65
62,19
36,39
85,81
76,17
59,57
14,58
63,78
38,22
60,84
68,21
68,99
23,82
3,3
90,86
57,90
2,47
76,70
18,21
60,94
3,42
88,74
1,51
45,88
68,99
92,81
8,70
12,20
28,51
62,3
83,97
57,71
87,23
74,33
2,29
11,39
11,84
11,46
65,99
85,77
61,26
97,16
51,13
16,59
39,91
19,97
88,29
93,14
29,23
74,4
82,58
28,44
98,10
41,28
59,17
23,55
94,40
78,91
76,8
43,47
6,21
4,90
28,44
46,8
25,56
20,35
59,10
46,12
31,13
54,84
86,71
76,57
75,86
26,74
