85 1893
value,weight
64,43
72,29
12,25
75,76
44,31
38,54
55,78
25,16
26,30
89,27
34,54
28,48
14,24
33,26
31,1
71,42
69,42
93,28
8,89
94,29
4,94
4,34
39,25
54,21
80,81
36,73
89,9
33,71
26,20
21,58
11,9
86,86
6,8
32,5
20,61
21,39
38,18
63,48
93,24
61,46
9,76
80,45
49,82
92,55
47,24
1,58
57,48
92,31
56,26
58,54
34,28
17,68
60,49
14,1
97,69
44,52
90,54
69,60
14,81
58,32
40,70
98,24
99,90
98,57
65,76
36,4
100,45
89,80
94,67
17,24
81,38
29,43
38,45
98,15
77,29
78,31
56,42
29,8
66,20
54,37
23,38
96,86
3,20
59,92
68,91
