100 2496
value,weight
96,24
71,56
85,18
29,71
23,85
7,81
58,40
32,41
76,27
72,18
85,52
84,48
88,57
86,51
69,48
19,52
43,16
40,90
56,35
90,82
92,12
77,75
71,66
64,72
24,33
5,56
4,96
39,27
72,95
57,68
89,48
67,85
61,37
7,39
97,27
52,24
47,38
39,86
65,61
19,33
85,29
69,4
24,89
63,81
14,80
63,18
29,61
85,65
93,14
69,47
68,47
15,62
84,32
75,20
94,10
85,88
86,19
67,75
94,53
17,89
78,67
91,11
80,49
82,4
93,6
56,54
44,5
78,33
52,52
100,47
40,45
63,55
91,76
59,3
91,64
26,97
85,53
7,34
88,12
8,93
11,37
12,70
98,34
12,47
8,32
9,1
22,14
53,60
7,41
85,90
84,94
27,7
2,89
100,98
94,87
65,87
75,26
85,86
90,53
11,26
