90 2237
value,weight
23,60
36,17
65,8
44,52
55,23
71,73
87,94
73,71
66,42
33,66
79,75
90,58
8,50
89,18
91,73
33,20
33,42
80,44
84,62
97,22
10,62
8,89
54,19
55,17
91,4
10,2
23,81
71,94
86,84
52,18
99,97
52,66
31,92
63,95
78,60
52,3
45,100
78,53
100,81
10,2
9,61
91,67
36,77
28,67
14,63
2,8
66,36
30,60
37,73
36,49
3,74
33,55
34,70
25,87
8,44
72,47
18,41
84,31
26,13
57,11
4,68
83,85
5,83
50,22
75,82
33,77
83,93
21,9
21,75
45,5
57,41
51,56
31,16
65,24
63,8
37,6
65,23
14,17
49,60
64,22
49,62
21,91
30,17
77,27
87,18
37,21
100,96
86,7
58,49
74,91
