90 2206
value,weight
57,96
37,73
12,50
68,48
27,46
65,27
45,21
92,88
9,49
20,61
48,59
47,51
8,94
50,97
48,4
1,11
57,7
57,97
53,34
85,80
64,8
92,48
22,39
10,13
22,99
21,48
83,84
56,58
16,82
95,40
64,75
60,32
73,4
28,73
100,14
26,80
19,89
45,33
70,23
1,46
79,10
61,25
94,79
99,45
83,57
11,2
29,21
58,51
4,11
3,63
100,89
22,95
45,34
29,50
88,55
96,5
12,15
63,12
43,20
3,96
1,89
70,19
61,39
55,27
91,91
77,87
20,92
77,3
53,1
70,37
71,19
81,37
10,95
19,32
7,87
14,89
31,52
89,3
88,27
100,68
3,42
70,18
74,97
14,57
22,97
18,44
4,60
43,2
11,85
10,1
