85 2426
value,weight
17,88
79,22
45,91
6,15
27,94
13,72
86,74
85,13
73,45
30,44
66,60
53,49
64,45
92,42
1,61
71,42
32,30
8,85
13,36
51,91
12,66
85,62
74,64
20,34
22,40
96,59
41,38
68,62
97,9
17,15
48,14
62,87
91,88
73,90
88,20
13,98
82,93
77,9
41,79
23,77
49,57
68,46
38,84
26,24
80,53
90,71
42,94
70,4
7,6
92,96
89,99
14,55
61,81
57,72
18,90
74,89
69,84
94,96
35,40
11,74
6,96
71,11
55,66
55,66
37,38
75,48
69,46
97,10
6,83
8,73
4,50
76,100
25,54
72,9
9,33
88,12
1,45
5,25
55,98
53,56
53,99
96,43
32,61
43,67
89,45
