100 2492
value,weight
51,84
15,48
96,78
48,89
39,19
41,37
72,1
15,31
94,50
79,75
26,16
75,32
38,69
9,5
99,79
34,53
10,19
81,97
87,3
72,12
34,66
71,66
31,47
79,74
98,57
36,10
68,32
69,89
69,36
97,42
15,51
86,62
53,26
60,82
54,51
25,48
35,66
94,98
23,62
34,33
89,22
66,4
18,52
41,19
82,10
50,54
79,5
19,7
41,85
3,33
61,59
6,88
76,12
76,96
95,31
79,49
88,94
89,88
34,11
91,85
8,53
97,79
73,69
55,81
5,51
41,41
92,88
90,2
45,45
74,100
40,6
39,32
43,71
8,68
16,69
38,96
99,73
39,25
32,28
22,90
71,80
7,23
77,37
78,6
89,76
31,6
68,78
45,30
35,60
69,18
47,40
83,39
32,63
80,50
32,44
65,48
52,39
56,77
53,7
19,98
