95 2527
value,weight
82,28
2,24
54,71
38,47
77,31
59,6
27,94
61,75
1,3
2,42
67,18
47,69
21,31
51,87
25,64
24,10
60,64
6,89
68,29
22,98
85,58
5,2
2,40
71,82
75,52
89,39
24,60
74,64
38,47
5,98
34,69
20,19
80,56
56,98
14,85
31,29
60,49
15,72
50,81
90,99
51,49
51,88
11,75
74,20
25,95
59,49
58,97
85,46
97,55
66,96
9,25
18,99
64,25
72,9
91,92
90,42
52,77
11,33
92,22
37,45
15,32
3,66
87,17
56,12
59,78
33,76
18,43
10,67
52,28
9,45
59,59
30,35
100,37
2,14
24,62
61,46
79,92
96,64
2,48
70,99
27,46
20,58
21,22
7,18
79,95
97,14
65,70
45,40
11,30
25,1
23,36
73,86
12,90
63,77
15,33
