90 2143
value,weight
80,17
45,61
99,86
78,19
64,90
75,37
61,65
60,76
81,82
11,89
18,42
72,71
75,1
15,60
29,65
43,47
43,52
83,22
91,37
70,41
32,41
3,72
37,62
6,88
1,7
99,30
99,5
42,100
43,63
1,18
34,9
38,86
88,76
17,30
60,64
28,1
50,51
37,100
32,44
75,57
54,84
67,60
81,83
13,18
30,25
85,46
23,61
36,100
59,6
90,81
30,6
15,7
8,90
49,15
38,18
77,16
96,36
45,25
86,73
7,4
86,72
44,83
45,33
74,27
81,39
43,40
51,20
53,16
40,7
30,23
82,98
4,16
31,72
99,74
92,76
88,62
7,30
64,43
15,45
86,8
48,73
97,35
7,14
32,19
40,16
91,67
57,90
2,67
87,33
51,71
