90 2259
value,weight
37,65
65,2
84,95
61,84
59,65
28,93
47,51
97,60
75,3
43,100
21,62
96,46
92,67
98,90
52,40
3,83
42,3
98,98
64,88
44,76
4,59
81,68
28,45
50,62
21,20
97,78
63,88
85,77
66,12
72,69
15,9
36,76
13,23
16,13
53,98
77,98
68,74
57,87
15,70
47,15
8,75
13,7
68,92
19,60
58,68
88,5
38,5
47,87
97,10
24,44
22,6
15,6
81,20
88,54
55,10
30,13
72,56
35,4
51,73
68,23
29,30
31,18
80,68
80,81
87,28
97,43
2,90
62,26
16,38
49,25
65,22
64,7
72,42
51,93
5,17
17,62
89,90
38,68
47,94
91,64
55,70
74,10
9,14
30,50
18,23
35,8
25,85
39,51
73,36
56,36
