95 2589
value,weight
49,38
94,60
66,81
18,16
54,39
79,82
97,77
17,13
57,99
54,29
22,5
89,56
20,74
33,92
41,15
32,57
69,64
36,74
96,86
11,96
46,46
53,95
95,14
29,98
29,91
40,4
83,58
4,87
90,45
43,91
54,24
36,72
65,88
55,100
14,94
76,95
43,92
29,100
79,95
34,54
97,8
83,45
63,54
72,75
38,87
39,77
33,95
32,12
9,28
62,20
56,68
25,51
64,43
1,16
20,85
64,20
11,49
37,92
57,45
95,62
69,51
9,6
50,37
30,83
4,20
54,22
79,78
17,98
84,11
45,37
32,51
62,10
25,12
47,85
5,52
45,36
54,67
26,45
22,26
71,72
37,86
53,31
68,64
79,5
69,67
3,14
59,58
4,33
59,54
79,1
29,62
38,72
48,4
58,21
9,79
