95 2173
value,weight
72,80
28,44
53,85
87,52
8,71
52,12
57,88
99,94
13,9
46,32
10,42
50,65
8,13
50,15
40,39
23,63
37,19
85,3
82,24
86,34
62,40
22,68
37,57
71,46
57,40
82,100
78,1
17,19
100,89
67,24
20,51
21,19
41,67
8,64
88,27
3,17
8,10
30,100
69,15
5,93
42,38
36,23
62,62
33,34
20,59
69,62
64,42
89,34
17,7
48,69
20,3
16,62
83,53
30,45
76,84
23,4
84,36
80,79
10,25
25,27
89,14
33,65
91,77
14,57
45,70
12,32
8,21
70,27
89,24
81,15
48,69
96,16
64,83
21,31
87,37
3,36
53,72
12,59
2,58
57,49
89,96
73,19
2,44
26,62
78,38
1,85
37,74
95,2
64,41
50,100
95,47
89,66
23,16
86,22
6,43
