95 2493
value,weight
47,82
6,6
8,7
71,3
87,22
4,22
22,43
57,63
56,6
50,58
6,57
54,85
90,59
15,41
5,43
2,54
62,44
5,47
16,21
86,83
66,69
51,73
37,87
74,37
18,30
60,54
49,46
87,42
99,78
56,60
28,37
99,1
24,39
77,55
23,92
29,7
4,52
98,26
61,38
31,45
63,69
33,28
43,92
6,80
86,91
59,67
60,33
29,82
30,19
39,75
79,38
37,10
25,82
74,92
38,77
34,95
82,86
43,90
3,56
77,83
75,56
94,16
26,78
37,80
51,63
47,27
44,7
34,27
16,58
70,91
99,74
32,40
39,27
100,15
73,73
6,80
18,59
10,82
38,16
96,82
8,2
59,55
26,72
67,32
47,93
97,96
8,17
8,61
47,14
73,92
52,10
100,91
53,32
41,54
49,55
