100 2612
value,weight
4,14
50,52
28,98
52,50
95,47
49,24
34,60
72,8
2,74
40,38
85,56
91,46
6,83
71,56
97,67
21,61
20,38
37,17
49,96
2,83
84,99
88,53
78,61
45,30
92,43
46,90
2,80
98,31
55,33
16,12
41,10
49,89
21,35
79,40
87,55
84,7
56,96
8,29
83,73
49,91
55,25
34,34
71,58
81,43
48,99
45,8
82,21
17,35
6,40
8,46
85,27
100,83
37,9
38,49
82,50
73,65
100,45
43,10
61,58
10,39
1,33
80,34
67,73
93,86
22,32
41,43
92,9
87,65
84,2
53,34
22,33
43,79
30,88
81,86
41,93
14,38
62,58
36,94
33,10
85,11
96,61
82,100
71,43
41,19
60,91
63,51
12,95
91,94
81,82
69,43
81,63
96,85
81,59
86,21
32,10
31,50
16,67
81,75
8,65
88,81
