90 2202
value,weight
95,59
47,93
51,49
82,99
50,100
74,40
80,49
83,66
15,28
35,96
96,62
12,31
86,29
100,5
76,3
95,39
78,79
24,68
17,2
86,7
80,23
78,47
11,53
86,6
54,54
85,98
2,32
85,7
17,28
52,59
26,60
61,59
34,21
86,83
72,86
72,23
69,3
18,93
20,31
9,90
93,2
78,56
54,12
46,62
2,6
90,39
52,71
89,28
67,70
72,3
31,19
19,54
7,96
8,18
58,92
46,86
22,100
79,42
82,11
19,28
38,71
57,60
38,71
48,97
60,44
4,58
28,50
37,20
92,32
71,15
25,60
28,42
6,7
55,21
95,51
6,23
89,55
75,87
38,67
72,14
51,81
64,80
60,57
35,59
86,47
27,80
80,88
46,41
51,40
11,31
