85 1917
value,weight
99,16
41,16
78,79
53,48
23,76
45,21
43,90
87,66
54,64
54,57
9,29
92,61
89,6
76,48
18,90
27,69
36,95
94,10
44,37
31,19
63,13
21,11
75,15
28,95
41,4
17,60
53,44
29,99
66,91
15,81
90,28
46,30
81,28
80,1
29,63
16,30
2,48
34,33
54,76
55,27
82,74
34,48
24,81
95,87
51,61
87,6
35,25
38,40
87,58
10,46
2,25
61,54
54,75
99,2
39,38
73,76
36,15
53,9
35,67
15,56
54,44
7,40
92,26
7,48
98,7
81,3
34,13
20,44
91,29
37,80
9,31
37,92
76,35
21,66
80,4
7,11
44,51
61,1
44,80
45,98
72,38
29,13
38,57
54,49
79,57
