100 2434
value,weight
98,38
36,70
20,50
82,78
24,61
13,7
79,60
82,26
35,55
28,23
84,26
62,49
98,42
14,6
11,51
70,85
85,25
3,65
76,29
42,77
41,33
17,7
55,87
24,53
19,2
22,35
82,91
39,83
37,97
39,34
63,30
62,87
8,5
54,65
39,46
98,97
14,74
22,65
21,76
90,66
35,83
64,86
90,1
29,42
72,99
57,75
62,96
40,17
22,88
27,24
41,59
57,58
92,74
93,74
81,89
100,38
72,2
8,70
6,7
85,91
20,66
64,70
78,25
78,37
86,43
98,68
90,31
14,88
66,12
79,58
38,68
64,45
94,15
65,37
39,8
75,29
1,90
56,14
71,33
87,4
100,11
80,32
68,41
75,17
78,31
52,26
89,13
17,9
32,38
89,28
49,18
53,60
34,9
39,21
75,91
36,93
37,95
1,5
84,67
12,93
