90 2278
value,weight
66,85
33,98
38,35
56,87
54,60
59,87
19,64
48,62
44,39
11,95
35,13
50,89
37,61
100,44
59,7
62,98
64,44
86,25
46,61
23,40
98,64
12,48
58,97
94,60
11,41
38,22
62,43
27,29
42,68
100,25
69,29
21,16
71,17
91,46
11,16
56,100
53,24
14,69
98,2
79,6
38,25
1,80
32,89
7,26
98,9
11,17
47,65
75,13
19,75
15,45
86,82
75,72
87,47
87,100
66,10
96,58
37,97
83,23
15,33
49,38
20,53
26,16
73,47
87,66
91,30
16,8
89,42
79,29
4,25
17,52
51,87
60,1
41,81
85,11
11,26
94,79
100,91
18,92
67,63
70,93
25,85
77,81
29,18
13,46
8,30
51,62
59,28
72,21
62,100
82,73
