85 1983
value,weight
77,51
60,25
30,4
97,43
70,23
88,2
8,56
19,98
79,83
16,58
9,80
53,60
80,54
83,19
70,93
84,65
66,7
42,73
96,78
94,34
60,27
63,58
87,47
68,42
74,68
87,52
29,69
67,35
15,38
65,49
5,5
30,7
36,81
47,73
17,50
21,9
8,7
91,48
12,50
32,14
53,17
46,23
88,40
67,20
15,99
7,65
14,21
33,41
87,27
21,85
98,28
25,36
41,25
37,12
61,31
30,12
43,29
49,87
41,95
56,78
15,24
36,96
45,44
36,83
18,6
20,65
12,31
41,30
46,78
84,13
71,48
12,5
88,99
12,15
18,84
79,3
8,25
11,86
83,88
22,87
15,80
93,35
54,64
22,11
7,60
