100 2662
value,weight
6,68
15,71
65,25
94,92
82,11
3,18
13,63
40,34
77,30
54,99
95,95
89,21
68,90
4,66
96,79
13,23
1,89
85,84
52,65
73,71
51,79
61,54
46,50
17,16
44,24
71,3
85,83
31,1
28,50
88,49
77,2
84,39
15,40
81,49
40,79
77,9
81,55
42,89
42,4
71,93
90,99
99,44
94,82
13,77
94,37
36,72
97,89
95,4
96,19
42,30
47,92
92,60
7,11
12,54
47,87
51,36
31,86
82,70
7,81
7,31
41,48
34,76
83,45
47,52
83,11
83,20
99,64
100,30
32,88
82,91
52,36
60,52
32,6
84,10
92,79
38,87
70,79
71,97
49,60
79,68
59,77
98,26
17,15
45,18
28,94
93,81
51,98
73,98
72,68
95,13
67,36
23,3
91,43
16,69
21,57
70,32
93,55
42,64
64,28
14,27
