85 2080
value,weight
98,81
28,48
60,29
12,81
55,71
29,53
10,22
96,21
89,80
92,96
67,9
85,87
48,32
79,61
34,78
57,30
73,21
83,32
37,33
26,29
93,45
38,94
44,39
14,63
33,44
79,46
100,46
42,29
89,46
56,69
11,47
53,96
94,85
49,100
82,73
44,95
18,61
17,36
21,71
44,23
32,10
5,20
98,52
98,36
93,84
80,41
48,27
43,58
87,40
2,60
79,69
21,46
98,34
51,63
76,95
77,24
12,8
23,92
21,23
25,29
24,55
97,38
83,23
79,23
37,93
76,30
3,42
13,62
42,3
1,5
58,13
92,67
24,41
14,9
46,8
48,73
35,10
23,84
19,68
11,2
13,74
100,88
68,15
80,67
47,54
