85 2222
value,weight
61,49
84,23
4,8
87,78
58,91
28,40
70,10
33,69
36,68
10,65
71,67
90,16
47,14
96,75
81,22
65,57
94,1
20,66
22,55
54,1
10,81
59,53
21,69
41,49
26,94
63,46
79,88
55,47
70,91
21,61
50,1
50,54
24,98
93,97
95,65
95,39
92,23
57,72
68,49
89,51
14,74
15,39
80,96
94,15
76,83
77,70
74,74
25,2
92,6
83,62
69,72
33,9
98,89
58,40
75,13
49,10
65,34
55,47
16,27
88,20
5,88
29,91
8,72
21,87
82,35
37,59
9,97
21,10
15,83
66,81
87,85
60,42
26,8
4,77
34,88
66,37
90,84
41,6
5,88
60,62
50,24
80,28
52,98
19,28
62,1
