100 2741
value,weight
72,54
48,82
67,87
59,2
65,78
42,86
92,77
80,33
40,21
39,88
21,67
3,38
25,58
66,96
79,77
21,11
53,14
61,78
38,9
19,77
68,51
12,16
82,62
76,65
35,32
18,34
4,23
16,30
36,44
27,37
14,66
80,5
20,26
35,89
8,30
13,61
96,1
49,91
73,2
87,53
94,93
92,9
100,17
21,84
43,65
38,85
88,21
32,33
85,46
20,93
71,92
90,26
1,20
94,37
52,47
10,89
85,90
64,57
50,86
74,74
35,93
70,73
1,4
37,60
3,77
31,28
62,12
75,19
66,7
55,73
86,7
94,94
22,72
50,31
67,6
84,100
20,87
63,63
71,29
57,36
24,73
38,71
13,88
39,99
25,73
99,83
68,50
6,12
76,89
68,87
68,93
30,81
69,82
5,27
96,90
29,49
27,17
13,58
98,79
66,95
