90 2259
value,weight
12,100
97,29
51,3
57,33
80,98
89,9
75,41
72,94
6,92
36,29
100,84
5,10
12,41
13,29
80,84
50,60
33,54
89,98
62,79
48,93
27,22
57,33
9,77
3,77
46,20
34,92
37,71
99,21
96,35
74,49
88,47
6,21
17,39
53,10
1,71
55,48
65,30
31,57
77,53
37,81
94,42
70,81
30,49
3,3
39,16
47,61
26,68
41,61
22,9
47,72
31,54
6,70
32,66
14,34
77,74
8,31
75,32
50,19
42,87
2,89
3,60
97,23
70,84
2,45
95,73
51,55
92,41
51,46
54,35
91,11
20,71
20,56
77,93
62,44
95,3
57,21
74,48
42,20
5,98
47,15
51,90
26,48
75,91
86,53
39,37
57,25
59,17
21,55
31,3
94,26
