100 2787
value,weight
51,34
52,59
35,99
80,56
16,98
77,76
63,27
25,56
39,16
25,71
33,25
56,77
31,90
60,61
83,32
53,66
97,87
76,23
38,98
45,45
90,34
14,21
10,2
82,36
44,30
45,21
88,96
30,100
83,41
68,67
4,57
71,99
88,92
67,100
10,85
84,88
98,21
68,59
81,70
70,6
12,23
66,22
36,49
42,65
43,7
4,55
91,21
24,89
5,48
34,17
44,18
28,86
98,82
73,22
57,4
65,59
96,98
10,57
81,82
100,68
73,42
28,53
36,36
69,64
1,79
75,19
41,55
14,70
60,81
63,37
89,92
16,24
100,71
21,21
54,95
26,94
3,99
80,79
35,78
21,35
86,94
44,70
60,88
87,30
36,64
35,21
18,33
95,60
4,21
96,18
77,73
100,47
10,58
63,74
57,98
77,45
58,94
45,44
63,17
37,9
