90 2217
value,weight
73,69
95,89
9,8
64,62
78,61
22,20
14,84
34,62
90,42
57,89
41,81
72,56
43,26
89,98
88,71
72,89
61,80
100,80
45,62
37,62
6,77
91,40
61,66
12,24
61,73
66,34
71,51
58,94
46,95
20,80
40,50
46,63
20,90
92,78
75,81
35,14
8,80
31,95
27,33
52,24
49,13
42,86
72,5
78,6
75,1
73,35
11,12
100,67
27,32
84,23
93,37
20,44
76,77
25,76
40,84
87,31
72,33
84,6
47,52
74,79
3,34
78,1
55,40
5,93
80,4
66,52
75,63
77,94
31,77
97,76
44,27
70,20
83,61
17,9
53,38
84,37
38,22
51,72
43,69
71,27
92,39
51,28
49,3
55,20
51,3
83,2
37,21
32,3
94,7
75,61
