90 2373
value,weight
81,2
20,81
60,76
83,1
58,85
71,86
37,77
82,22
8,55
68,28
86,9
49,74
6,13
18,43
12,79
27,21
59,14
68,56
60,97
53,53
30,6
66,86
57,96
92,96
93,70
65,66
30,54
62,41
95,95
72,34
17,32
20,35
93,93
7,89
98,3
49,66
83,69
12,82
92,51
32,2
66,96
64,58
22,59
55,62
13,22
19,57
100,100
70,19
28,1
42,52
100,81
13,73
12,45
63,79
56,51
25,10
90,52
42,59
87,14
67,5
72,45
40,12
63,9
43,53
64,52
100,83
97,84
46,25
61,13
16,95
98,85
66,6
45,66
54,92
46,68
19,74
71,33
51,39
31,28
6,33
7,22
97,84
16,27
77,32
1,76
44,65
43,93
7,100
67,22
8,97
