100 2483
value,weight
29,62
12,50
47,70
6,89
28,66
12,7
96,52
59,67
95,49
1,38
24,18
26,33
90,96
73,94
43,53
89,79
2,86
40,50
14,85
37,18
2,74
78,95
22,38
60,93
99,32
59,68
18,77
91,51
62,44
37,61
54,78
45,93
31,13
38,95
84,14
21,79
28,56
76,42
62,52
14,7
28,10
53,57
45,12
16,62
57,4
87,31
77,74
26,57
54,49
16,60
70,91
46,76
21,24
54,65
18,31
32,49
11,67
68,62
27,19
35,12
73,52
79,90
31,43
84,52
27,36
37,49
91,1
30,46
82,14
98,53
28,22
3,38
4,66
28,12
57,43
5,62
83,11
75,56
60,50
95,40
62,79
50,26
81,84
39,25
34,9
77,89
55,4
10,88
82,65
15,22
21,70
30,85
91,18
2,70
70,25
32,16
8,33
1,17
19,29
28,41
