85 2123
value,weight
90,38
51,42
40,5
31,50
59,61
19,97
58,44
66,56
15,61
11,21
94,43
67,10
2,63
74,42
55,35
3,65
42,22
66,31
62,48
26,99
20,51
72,4
90,4
17,81
13,27
9,7
33,55
98,60
68,97
86,16
74,24
72,16
11,26
23,9
15,60
17,36
60,43
75,72
27,34
94,80
24,79
62,90
9,4
11,52
47,69
39,36
17,58
68,93
99,51
65,89
77,74
60,5
4,60
37,92
66,6
96,70
53,42
20,76
65,64
71,67
94,66
11,9
79,44
29,14
73,100
70,54
5,2
8,35
88,50
59,55
49,75
50,18
12,66
6,90
79,47
66,35
4,82
16,78
93,59
98,42
42,54
17,95
10,96
17,39
26,30
