90 2223
value,weight
45,22
32,83
48,24
20,95
92,69
90,16
95,31
67,2
26,97
17,5
11,49
14,81
41,95
16,21
10,11
48,81
88,55
7,42
4,3
66,61
44,19
81,76
30,59
6,77
55,12
83,2
3,11
1,4
48,80
22,50
14,53
53,20
37,86
96,50
81,26
90,33
76,87
28,84
58,58
35,20
35,97
43,27
74,68
47,85
27,86
2,89
83,46
30,71
81,22
41,70
62,6
90,40
73,48
74,12
19,3
67,38
84,49
92,23
16,65
52,34
94,33
10,56
13,84
20,9
90,98
23,84
10,100
45,91
45,64
16,48
13,9
92,49
86,77
88,33
68,63
73,91
58,9
72,15
96,86
3,30
76,3
83,98
40,89
16,100
66,9
58,37
99,35
64,16
13,92
59,9
