85 2237
value,weight
5,42
4,25
36,68
9,60
58,21
58,69
78,41
16,56
21,58
24,7
73,97
74,97
49,54
6,47
7,77
65,54
13,67
77,12
1,53
76,58
9,40
77,25
95,68
4,35
12,85
97,96
22,62
62,75
74,24
40,49
21,30
28,84
61,68
39,95
88,3
5,66
9,50
6,75
37,21
96,42
99,60
93,11
76,14
5,24
55,50
13,16
83,56
94,98
43,21
75,91
27,45
5,78
25,95
22,100
36,35
8,38
33,54
95,80
33,26
92,86
52,27
32,89
20,8
77,7
63,16
86,35
63,13
4,22
69,58
49,55
9,49
76,97
32,78
97,36
81,1
71,63
100,78
43,72
72,70
69,52
45,1
83,97
41,33
76,95
94,89
