100 2132
value,weight
40,63
25,76
97,28
48,65
90,89
55,91
26,15
65,1
19,10
41,87
41,6
99,70
65,100
61,4
14,59
94,33
24,74
5,19
56,95
32,61
73,90
80,18
38,34
7,68
27,11
58,72
47,52
12,37
21,17
57,28
28,30
16,4
56,55
46,79
90,93
94,51
95,3
80,40
42,19
58,36
42,2
32,14
93,4
84,25
92,33
48,15
37,32
18,28
10,26
31,95
19,97
48,89
97,2
27,91
83,99
92,95
32,11
17,73
37,6
43,7
79,50
34,31
34,53
78,15
14,9
85,41
80,19
58,29
9,32
50,68
99,38
79,11
62,22
49,41
78,75
56,52
49,51
63,8
35,8
71,4
23,22
21,65
88,58
16,96
11,16
19,98
12,10
90,27
79,11
65,75
70,23
27,88
16,22
92,75
59,47
8,4
58,18
84,94
54,25
48,7
