100 2884
value,weight
42,100
83,90
4,75
27,86
4,10
70,43
51,92
35,15
96,69
5,68
39,82
78,98
37,48
48,69
58,25
65,97
74,79
89,88
95,52
54,65
89,92
70,15
31,53
17,18
23,18
31,7
29,87
85,75
12,93
12,65
70,69
23,12
51,43
74,69
95,25
10,28
59,11
89,79
75,95
96,71
46,12
42,10
27,33
42,82
16,89
16,75
86,69
51,2
37,69
99,68
80,69
67,68
44,58
13,58
50,92
95,92
93,87
59,49
13,28
65,1
54,43
84,46
19,50
91,16
35,88
8,72
70,23
98,73
98,97
95,26
63,59
80,88
72,58
88,44
21,82
96,58
88,65
88,83
8,64
17,82
54,90
60,15
68,48
64,77
31,24
88,25
15,52
61,91
64,4
74,23
53,14
29,80
52,55
85,87
100,100
65,78
27,19
100,79
17,92
97,12
