95 2285
value,weight
46,40
2,44
90,49
90,17
27,20
100,64
69,34
20,33
30,2
18,30
9,3
70,83
73,40
34,79
27,72
28,88
18,45
8,31
14,23
24,11
42,86
60,46
49,91
85,81
91,33
48,14
28,34
72,87
72,80
34,81
76,97
28,22
37,2
20,16
54,27
63,60
98,92
41,74
56,95
84,75
4,93
50,77
71,63
28,63
87,73
13,23
25,67
86,91
22,7
91,38
67,15
48,22
16,83
18,84
82,30
40,77
69,48
60,37
21,19
42,7
92,30
87,4
94,89
34,1
73,82
5,15
65,42
100,33
22,5
96,100
5,2
51,44
12,15
3,69
19,2
91,24
55,55
59,100
59,41
26,2
96,96
89,42
85,97
62,2
68,36
36,76
95,14
59,72
62,42
7,66
85,63
33,86
42,18
27,85
6,2
