85 2376
value,weight
29,64
71,89
87,62
89,98
3,27
68,18
58,92
97,78
65,91
68,65
73,93
45,45
41,96
58,94
2,7
23,93
16,43
91,16
41,41
15,91
49,34
48,98
17,100
59,41
23,65
97,48
20,43
100,44
60,92
40,44
85,18
75,59
11,44
40,23
31,32
62,89
20,34
36,11
80,81
33,14
12,87
7,56
61,79
23,14
52,21
2,39
84,42
75,17
5,33
61,81
42,21
18,98
28,14
64,100
18,27
46,13
12,9
5,69
66,10
92,24
4,81
35,14
87,78
63,44
53,51
18,28
40,82
83,87
79,86
50,63
27,74
22,86
77,87
21,96
53,68
67,45
12,32
77,60
15,60
44,25
55,61
6,78
47,82
32,62
20,52
