90 2224
value,weight
6,73
58,82
32,95
31,14
53,47
57,75
8,55
96,76
71,29
6,76
34,100
4,71
41,42
68,46
17,1
1,33
56,25
88,15
68,66
28,2
26,88
75,60
36,96
71,21
85,31
6,66
1,85
10,23
36,42
71,16
10,10
69,40
89,88
95,38
81,44
89,50
32,96
30,56
32,73
67,30
13,24
91,51
30,71
52,49
28,20
11,11
53,62
20,35
9,51
30,33
91,21
68,18
40,5
99,39
68,95
74,16
5,59
100,62
49,35
25,60
100,77
59,100
85,79
29,29
84,52
96,3
98,36
12,23
29,68
91,14
6,23
44,22
84,77
32,17
86,76
23,39
61,94
69,78
86,89
2,94
3,51
60,1
61,34
68,81
34,19
25,13
48,34
6,66
40,93
25,73
