90 2271
value,weight
54,26
41,3
36,89
91,25
74,36
13,9
68,89
48,49
48,82
17,94
97,36
89,26
99,35
13,47
3,46
18,44
14,42
40,37
37,12
69,78
83,1
9,72
45,20
52,16
52,61
91,4
82,15
74,28
3,91
14,97
43,79
14,89
91,6
38,65
80,14
33,31
57,7
49,13
96,86
39,72
3,21
47,68
84,73
34,33
55,92
89,35
83,76
68,15
47,85
28,34
39,46
13,82
45,31
55,88
56,89
38,28
78,45
17,69
10,74
84,39
17,63
79,22
36,40
28,89
2,24
19,62
37,66
88,48
86,20
45,73
87,48
31,56
33,68
41,93
62,74
21,9
82,74
91,45
14,36
2,33
49,98
78,72
93,6
97,75
51,13
39,51
55,81
65,89
36,53
92,66
