100 2562
value,weight
59,11
45,97
80,89
86,9
88,13
21,37
21,78
86,87
70,7
81,49
29,40
59,98
58,79
6,16
44,49
87,67
32,72
34,96
42,93
95,94
53,84
52,90
100,89
21,45
71,38
41,3
41,7
8,85
22,8
78,84
65,83
41,7
22,9
6,1
36,77
50,90
39,88
13,15
36,72
36,54
62,22
1,8
42,47
41,29
46,31
35,49
38,58
48,51
42,86
79,22
16,61
26,71
83,22
77,74
52,24
27,58
38,28
53,69
47,22
22,54
80,56
86,42
58,39
75,38
83,80
51,43
60,77
6,3
45,29
66,47
15,16
56,44
58,60
100,44
73,22
28,67
96,59
7,38
30,15
68,56
2,99
67,56
71,69
48,28
58,85
55,24
9,79
32,41
34,96
85,92
66,59
15,99
75,90
47,5
82,35
46,78
70,23
81,1
5,9
85,85
