90 2376
value,weight
38,55
66,59
57,28
26,17
27,42
84,23
70,31
88,15
49,93
61,15
29,55
66,78
32,35
71,63
100,71
72,12
33,92
30,4
76,66
42,90
35,75
66,32
100,72
19,73
79,27
100,65
8,41
82,9
17,94
50,42
28,88
79,3
81,15
84,100
79,96
10,16
81,96
54,3
50,63
72,38
16,47
96,36
50,81
10,77
6,15
59,84
17,36
32,72
70,19
29,76
23,56
15,67
42,52
62,87
96,55
75,4
69,9
93,41
15,87
72,6
54,6
5,30
96,82
28,48
8,70
62,84
1,46
95,52
40,34
10,82
67,77
56,99
58,83
21,62
85,88
49,36
58,85
6,66
64,57
69,81
18,3
15,64
1,79
97,35
6,24
90,100
77,46
2,39
28,19
92,77
