90 2399
value,weight
43,94
23,73
96,31
6,11
13,22
40,59
80,39
45,90
41,25
22,75
78,63
58,27
55,21
25,61
66,72
33,52
52,71
49,40
67,49
72,25
75,58
51,2
90,66
13,66
53,27
57,80
56,81
36,74
68,37
20,41
47,29
66,39
98,11
62,59
9,1
21,43
21,92
82,48
69,19
68,7
18,92
56,54
51,20
87,84
17,5
92,69
68,88
8,91
41,80
98,97
3,24
9,55
7,66
20,11
43,13
26,62
24,60
92,42
38,93
52,97
63,86
14,2
85,30
90,16
29,66
79,76
45,47
1,58
77,86
75,55
22,62
91,40
3,61
6,39
79,63
49,50
90,75
14,83
77,88
9,99
4,31
40,8
90,44
7,84
85,4
94,58
82,100
33,40
1,94
64,70
