95 2522
value,weight
88,75
66,37
58,32
53,1
63,44
18,55
15,35
74,7
52,69
72,9
46,56
77,43
12,66
42,28
51,61
81,81
43,87
72,91
64,35
38,23
84,47
3,5
95,67
80,1
40,12
15,72
29,73
20,79
33,16
12,83
95,72
40,95
50,56
7,38
60,71
65,25
51,20
52,91
3,32
91,92
17,48
43,72
66,44
95,39
41,3
15,53
77,81
82,7
98,89
34,71
43,48
71,39
17,97
95,100
30,35
79,58
66,96
94,99
47,95
4,42
38,95
90,98
79,39
24,59
84,7
12,99
24,99
74,13
92,11
16,20
95,67
54,2
33,4
55,39
59,100
61,62
92,80
43,86
62,87
85,46
89,23
18,24
47,99
49,29
56,74
86,37
19,20
9,6
76,87
67,36
4,31
52,68
6,89
84,89
50,21
