100 2638
value,weight
61,52
89,79
86,3
87,42
10,16
54,78
34,19
18,98
2,38
28,69
11,72
50,54
67,8
80,9
63,55
21,63
62,20
48,12
38,85
95,2
43,59
54,68
65,32
61,37
24,58
21,83
46,65
1,97
78,33
81,1
4,98
48,70
16,8
34,11
39,32
98,70
12,41
76,79
63,77
17,32
90,54
58,21
91,33
89,70
41,31
43,70
36,87
72,36
83,31
38,94
21,62
52,96
57,42
6,30
18,80
68,82
9,29
35,14
93,30
65,54
95,99
31,27
90,14
91,63
78,36
61,96
24,98
30,35
92,30
70,85
48,35
69,78
27,91
12,37
20,62
17,44
86,87
31,81
2,57
97,75
42,30
44,74
31,45
13,10
9,98
15,16
88,75
80,17
53,98
96,2
87,100
14,81
86,76
90,90
43,40
75,32
78,38
46,97
59,16
64,40
