100 2736
value,weight
74,15
90,33
35,6
46,24
14,55
3,76
88,56
14,99
60,37
58,81
93,66
65,15
13,51
82,53
72,93
73,66
71,77
16,10
51,69
9,13
45,62
11,65
45,80
19,30
2,27
20,95
10,17
84,3
44,26
17,11
89,86
14,47
43,24
6,69
91,20
24,85
46,41
61,92
38,70
33,79
20,59
91,34
67,72
54,38
66,41
45,49
28,79
77,93
44,73
67,14
4,67
26,88
5,46
66,87
89,40
3,32
74,89
38,60
75,97
92,56
32,80
98,57
68,95
2,5
37,90
54,14
13,59
2,64
30,64
66,14
22,61
26,93
68,5
44,61
39,96
45,100
7,99
72,48
41,64
4,83
86,2
46,12
26,66
53,82
87,18
25,1
51,100
83,78
75,66
59,53
65,7
45,77
2,85
68,44
89,38
4,12
44,94
40,71
3,73
13,4
