95 2591
value,weight
37,34
99,41
59,9
37,38
42,42
64,20
86,5
48,44
20,95
67,84
84,92
32,80
70,83
79,20
13,49
67,72
65,58
10,52
71,63
29,52
51,94
74,78
9,83
11,73
2,15
80,58
18,82
30,32
53,23
48,63
4,12
29,84
8,43
3,100
46,10
25,99
58,67
30,47
19,64
76,23
33,47
67,23
17,19
62,95
95,45
50,13
55,17
61,22
30,11
20,85
83,81
74,82
50,17
98,33
62,81
3,28
49,55
56,75
56,13
46,49
22,9
63,27
85,73
78,85
34,97
3,95
45,84
65,57
48,82
15,31
68,28
51,18
62,73
21,62
27,34
54,32
12,57
92,43
9,50
85,38
93,80
70,79
32,31
29,97
63,82
39,81
59,95
15,50
44,20
76,57
57,86
63,90
52,73
27,28
52,85
