100 2559
value,weight
32,69
5,10
83,92
19,62
66,82
31,17
94,95
80,36
23,62
73,15
73,35
100,45
100,80
100,21
73,2
57,75
71,68
52,53
7,25
69,7
51,23
91,62
36,93
6,67
5,96
46,63
36,35
18,51
72,94
22,41
40,63
83,29
66,2
83,57
84,89
82,88
42,100
100,85
71,59
54,93
61,73
24,67
38,53
94,41
59,54
79,38
100,34
15,19
75,16
2,26
14,70
40,86
21,8
87,16
37,76
93,24
67,3
56,74
71,27
81,72
77,5
47,18
40,71
25,9
10,78
68,77
84,38
17,53
11,62
3,49
58,23
61,20
92,64
57,51
87,31
21,3
79,62
67,27
67,86
83,71
59,70
17,93
62,56
65,28
3,63
91,55
1,43
90,87
31,53
17,96
10,92
2,22
77,56
15,31
75,68
49,5
67,93
38,32
5,30
90,29
