100 2569
value,weight
23,27
71,19
10,64
36,88
6,49
72,46
23,40
50,98
71,19
61,43
72,20
19,73
97,97
28,17
69,64
55,97
66,86
8,14
59,93
36,59
59,76
57,68
36,5
33,50
58,9
70,62
26,17
7,45
12,87
42,89
51,7
14,70
37,43
71,18
69,11
23,85
52,40
13,81
44,10
80,66
90,32
98,89
2,41
13,82
81,6
84,1
35,51
55,84
52,14
36,4
95,59
61,49
33,54
34,22
48,88
85,48
38,12
86,64
82,100
53,30
56,81
84,84
2,82
26,11
6,6
24,37
49,96
20,27
85,3
1,75
100,62
8,29
67,53
29,78
7,75
62,86
12,12
33,81
72,71
9,20
35,51
73,48
72,82
46,89
68,2
41,88
19,83
70,39
58,70
98,84
36,52
95,49
71,57
3,40
78,76
53,53
93,43
80,32
54,10
9,39
