100 2720
value,weight
64,23
95,94
53,2
9,65
91,23
47,7
35,46
45,84
98,53
71,7
2,43
54,39
18,81
40,44
40,58
52,56
1,16
90,85
45,80
56,53
21,18
9,24
38,38
99,82
90,40
12,73
58,34
72,98
43,81
60,39
35,97
5,90
30,28
93,67
76,57
3,47
28,47
98,28
99,36
29,59
56,15
22,79
66,75
23,37
23,92
100,71
92,36
45,13
21,15
33,98
23,36
68,72
17,87
86,45
74,67
88,20
99,57
16,63
98,23
61,15
43,97
6,12
65,100
94,89
19,28
9,89
33,96
91,91
68,44
36,53
30,76
42,10
90,78
100,83
21,49
23,10
45,14
17,88
75,97
98,40
2,9
60,76
48,50
76,70
74,77
98,89
92,52
39,32
65,89
86,10
90,99
75,80
62,85
65,1
70,91
46,54
55,91
33,42
64,31
57,10
