95 2490
value,weight
39,49
21,100
86,6
64,30
5,93
38,88
84,11
72,35
41,91
88,68
9,44
3,63
37,27
61,55
55,45
14,30
72,28
37,11
22,38
30,54
81,91
91,41
18,59
31,85
50,58
80,84
43,47
5,36
52,87
27,50
75,79
34,63
2,98
50,71
9,39
45,95
46,63
68,3
79,28
100,22
49,70
71,21
28,14
87,55
100,84
39,32
81,95
10,69
85,24
92,96
68,46
33,38
86,3
56,24
5,78
38,58
75,24
1,91
21,88
88,75
7,69
29,86
28,20
92,79
37,31
19,11
42,28
50,53
43,14
50,90
63,48
79,86
99,92
9,83
84,93
71,13
75,7
65,19
81,63
62,83
23,65
91,5
39,71
44,81
48,1
98,50
75,12
8,100
76,7
84,34
76,63
61,4
95,89
69,77
63,3
