90 2399
value,weight
66,83
57,94
40,1
45,45
62,50
100,90
90,82
43,4
32,17
17,67
33,1
87,54
6,23
56,31
85,67
48,29
52,23
2,56
6,38
63,9
49,4
56,42
7,98
46,28
37,23
3,48
92,49
13,2
73,81
80,38
69,79
55,54
67,15
42,37
40,23
43,71
13,87
50,86
1,24
96,69
86,92
63,94
63,91
79,57
40,5
22,78
67,65
83,47
34,86
29,51
68,67
29,51
4,91
12,55
79,27
84,9
95,46
90,74
98,85
72,56
79,41
18,73
47,69
58,13
2,87
17,56
22,96
90,85
29,63
77,21
12,42
48,85
79,13
10,66
74,87
79,12
25,93
1,43
8,79
20,41
59,66
98,75
70,12
64,49
87,50
61,74
94,24
48,88
14,57
91,90
