85 2163
value,weight
52,48
57,21
31,83
33,50
15,93
96,79
37,1
56,79
22,18
69,21
22,95
48,67
99,36
14,95
50,59
36,27
17,88
63,68
93,85
28,92
100,43
11,82
18,82
4,39
22,20
96,49
83,93
66,64
84,43
3,47
57,15
23,40
3,59
7,9
15,21
15,56
6,16
15,61
16,49
84,54
84,81
4,56
4,80
75,72
44,88
53,69
92,33
94,41
82,13
31,75
44,15
52,14
99,80
92,95
26,65
61,51
17,34
24,41
22,44
98,51
73,64
85,20
76,8
8,47
47,65
29,38
92,15
56,69
8,25
30,47
34,89
58,94
55,26
75,26
78,42
16,17
85,83
89,69
82,67
42,11
40,51
56,17
50,5
91,39
38,48
