85 2113
value,weight
39,7
68,84
100,4
61,11
94,94
44,38
11,80
17,6
59,20
73,49
8,90
21,85
15,11
94,38
84,11
4,76
1,24
50,24
80,17
41,48
16,5
33,43
81,75
87,64
33,12
16,33
23,31
47,50
19,99
23,42
45,47
62,26
38,8
41,72
31,99
56,47
44,46
3,13
73,69
83,50
66,7
59,64
64,14
11,49
16,35
81,57
74,93
96,46
57,62
77,99
22,44
56,63
9,66
66,74
32,3
88,91
1,90
10,76
81,86
60,62
52,92
43,39
28,19
4,75
63,27
45,4
58,90
64,74
34,5
23,81
63,63
81,53
94,78
50,1
16,93
48,34
42,5
16,26
100,72
68,50
45,86
83,22
39,43
40,95
4,71
