90 2203
value,weight
82,95
88,60
29,14
4,68
37,82
70,18
20,56
49,21
46,87
61,50
7,21
96,47
38,35
50,54
33,22
55,18
77,60
62,76
9,91
50,64
17,66
70,59
23,71
35,24
85,35
86,10
39,19
59,32
41,26
78,13
7,73
17,96
89,29
79,72
21,52
19,51
54,85
81,2
89,2
75,7
12,60
27,32
90,7
50,7
91,24
43,29
83,74
51,30
98,38
46,68
88,99
35,15
11,94
40,41
91,84
33,9
73,7
9,65
11,2
52,17
77,49
14,93
30,63
90,23
50,74
56,96
92,50
2,9
34,93
74,2
41,40
32,43
92,98
97,46
80,50
71,98
61,42
59,38
64,83
94,93
91,59
31,45
80,100
60,40
92,73
47,21
57,22
85,85
54,43
83,70
